time,open,high,low,close,volume
2020-03-26 21:00:00,6737.27,6842.59,6261.00,6359.11,82915
2020-03-27 21:00:00,6359.11,6360.00,6024.00,6236.65,93160
2020-03-28 21:00:00,6236.65,6266.00,5866.56,5881.42,63312
2020-03-29 21:00:00,5880.50,6599.00,5857.76,6394.38,118890
2020-03-30 21:00:00,6394.45,6523.23,6321.40,6410.44,72338
2020-03-31 21:00:00,6412.14,6679.94,6150.11,6642.92,97501
2020-04-01 21:00:00,6643.36,7198.00,6551.00,6794.09,149300
2020-04-02 21:00:00,6793.86,7048.00,6602.10,6734.10,104080
2020-04-03 21:00:00,6732.97,6990.41,6650.01,6856.99,72991
2020-04-04 21:00:00,6857.41,6895.54,6677.52,6772.78,49685
2020-04-05 21:00:00,6772.78,7355.14,6765.00,7329.90,118052
2020-04-06 21:00:00,7329.90,7459.69,7077.00,7197.32,103585
2020-04-07 21:00:00,7197.32,7420.00,7150.00,7361.28,76059
2020-04-08 21:00:00,7360.26,7371.92,7108.08,7283.54,61095
2020-04-09 21:00:00,7283.54,7295.75,6739.98,6858.92,104675
2020-04-10 21:00:00,6858.92,6944.30,6760.00,6876.83,45470
2020-04-11 21:00:00,6876.84,7177.00,6780.00,6903.79,73869
2020-04-12 21:00:00,6903.79,6903.79,6575.00,6837.91,96415
2020-04-13 21:00:00,6838.04,6978.00,6754.28,6868.70,69069
2020-04-14 21:00:00,6868.57,6933.00,6605.00,6621.24,61571
2020-04-15 21:00:00,6621.25,7190.00,6468.27,7101.94,125010
2020-04-16 21:00:00,7101.99,7148.12,6972.98,7027.55,54127
2020-04-17 21:00:00,7026.78,7293.08,7014.40,7248.60,49489
2020-04-18 21:00:00,7248.60,7266.15,7055.60,7120.74,45665
2020-04-19 21:00:00,7121.40,7220.00,6751.00,6826.83,90149
2020-04-20 21:00:00,6828.98,6940.00,6762.00,6841.37,60110
2020-04-21 21:00:00,6841.36,7156.38,6818.00,7125.14,61486
2020-04-22 21:00:00,7125.12,7738.00,7020.00,7482.39,102774
2020-04-23 21:00:00,7483.96,7615.96,7388.00,7505.00,60182
2020-04-24 21:00:00,7505.00,7705.00,7431.07,7538.67,43874
2020-04-25 21:00:00,7539.03,7700.00,7480.00,7693.10,50523
2020-04-26 21:00:00,7693.10,7792.02,7606.00,7774.62,65441
2020-04-27 21:00:00,7773.51,7780.00,7659.12,7738.98,46303
2020-04-28 21:00:00,7738.58,8952.89,7710.05,8778.57,183547
2020-04-29 21:00:00,8778.58,9460.00,8401.00,8620.00,206277
2020-04-30 21:00:00,8620.00,9059.18,8613.56,8826.96,91469
2020-05-01 21:00:00,8825.67,9010.00,8753.00,8972.05,59002
2020-05-02 21:00:00,8972.58,9200.00,8712.00,8894.16,90126
2020-05-03 21:00:00,8894.15,8950.00,8522.00,8871.96,84419
2020-05-04 21:00:00,8871.92,9118.58,8760.00,9021.83,76481
2020-05-05 21:00:00,9021.36,9395.00,8906.21,9142.92,105925
2020-05-06 21:00:00,9143.40,10067.00,9021.00,9986.40,147155
2020-05-07 21:00:00,9986.30,10035.96,9705.00,9800.01,100684
2020-05-08 21:00:00,9800.02,9914.25,9520.00,9539.40,81951
2020-05-09 21:00:00,9539.10,9574.83,8117.00,8722.77,183865
2020-05-10 21:00:00,8722.77,9168.00,8200.00,8561.52,168807
2020-05-11 21:00:00,8562.04,8978.26,8528.78,8810.79,86523
2020-05-12 21:00:00,8810.99,9398.00,8792.99,9309.37,92466
2020-05-13 21:00:00,9309.35,9939.00,9256.76,9791.98,129565
2020-05-14 21:00:00,9791.97,9845.62,9150.00,9316.42,115891
2020-05-15 21:00:00,9315.96,9588.00,9220.00,9381.27,59588
2020-05-16 21:00:00,9380.81,9888.00,9322.10,9680.04,68648
2020-05-17 21:00:00,9681.11,9950.00,9464.23,9733.93,82007
2020-05-18 21:00:00,9733.93,9897.21,9474.00,9775.53,78540
2020-05-19 21:00:00,9775.13,9842.00,9326.00,9511.43,74924
2020-05-20 21:00:00,9511.43,9578.47,8815.00,9068.65,108929
