time,open,high,low,close,volume
09/12/2020 21:00:00,4.87,4.92,4.70,4.80,2575245
10/12/2020 21:00:00,4.80,4.82,4.54,4.61,3915724
11/12/2020 21:00:00,4.61,4.80,4.61,4.74,2757351
12/12/2020 21:00:00,4.74,5.10,4.72,4.90,3939252
13/12/2020 21:00:00,4.90,5.01,4.83,4.90,2543847
14/12/2020 21:00:00,4.90,5.29,4.84,5.24,5957059
15/12/2020 21:00:00,5.24,5.37,5.12,5.36,7988631
16/12/2020 21:00:00,5.36,5.75,5.27,5.35,11536865
17/12/2020 21:00:00,5.34,5.51,5.25,5.35,5673141
18/12/2020 21:00:00,5.36,5.58,5.28,5.34,5524007
19/12/2020 21:00:00,5.34,5.44,5.07,5.19,6165711
20/12/2020 21:00:00,5.19,5.45,4.77,4.87,7796555
21/12/2020 21:00:00,4.87,5.21,4.80,5.16,8558735
22/12/2020 21:00:00,5.15,5.19,4.59,4.71,8098117
23/12/2020 21:00:00,4.71,5.20,4.63,5.11,8292422
24/12/2020 21:00:00,5.11,5.29,5.04,5.21,5278806
25/12/2020 21:00:00,5.21,5.29,5.08,5.19,4830448
26/12/2020 21:00:00,5.19,5.47,4.93,5.15,12600498
27/12/2020 21:00:00,5.15,6.70,5.11,6.60,28565820
28/12/2020 21:00:00,6.59,7.70,6.12,7.54,43059738
29/12/2020 21:00:00,7.55,7.68,7.05,7.23,29271542
30/12/2020 21:00:00,7.23,9.51,7.12,9.26,39283523
31/12/2020 21:00:00,9.26,9.43,8.07,8.28,40444970
