time,open,high,low,volume
2020-08-22 18:00:00,4.09820000,4.30000000,3.93330000,1553619.38000000
2020-08-22 19:00:00,4.26470000,4.30000000,4.10920000,888151.71000000
2020-08-22 20:00:00,4.23960000,4.55000000,4.23920000,2076918.47000000
2020-08-22 21:00:00,4.47560000,4.48640000,4.24680000,1435644.66000000
2020-08-22 22:00:00,4.28250000,4.41660000,4.13200000,1100079.62000000
2020-08-22 23:00:00,4.41000000,4.41330000,4.21000000,746797.18000000
2020-08-23 00:00:00,4.31000000,4.31510000,4.02020000,1473303.08000000
2020-08-23 01:00:00,4.10000000,4.26000000,4.02790000,717698.09000000
2020-08-23 02:00:00,4.25990000,4.27760000,4.09000000,579994.74000000
2020-08-23 03:00:00,4.14730000,4.14970000,4.01000000,811721.32000000
2020-08-23 04:00:00,4.13860000,4.26910000,4.11020000,549976.39000000
2020-08-23 05:00:00,4.20930000,4.22550000,4.12020000,583962.40000000
2020-08-23 06:00:00,4.13350000,4.19380000,4.12900000,501210.15000000
2020-08-23 07:00:00,4.18000000,4.18330000,3.80290000,2221928.19000000
2020-08-23 08:00:00,3.90000000,3.98880000,3.71700000,1858100.57000000
2020-08-23 09:00:00,3.74180000,3.93190000,3.70320000,2241666.16000000
2020-08-23 10:00:00,3.84700000,3.97360000,3.82140000,1178728.39000000
2020-08-23 11:00:00,3.83800000,3.91020000,3.78020000,1116829.94000000
2020-08-23 12:00:00,3.84560000,3.91560000,3.71850000,1250089.02000000
2020-08-23 13:00:00,3.91000000,3.91830000,3.72400000,964304.81000000
2020-08-23 14:00:00,3.78090000,3.88800000,3.75000000,531725.61000000
2020-08-23 15:00:00,3.76330000,3.88620000,3.75250000,398467.00000000
2020-08-23 16:00:00,3.84370000,4.10000000,3.84280000,745188.42000000
2020-08-23 17:00:00,4.04310000,4.12850000,3.94680000,606483.80000000
2020-08-23 18:00:00,3.98070000,4.05810000,3.89100000,802805.12000000
2020-08-23 19:00:00,3.91050000,3.92440000,3.85400000,436567.23000000
2020-08-23 20:00:00,3.92060000,4.12840000,3.92060000,992037.76000000
2020-08-23 21:00:00,3.98050000,4.01980000,3.86500000,617907.98000000
2020-08-23 22:00:00,3.94000000,3.94800000,3.80000000,617121.59000000
2020-08-23 23:00:00,3.82000000,4.00000000,3.78000000,1182038.33000000
2020-08-24 00:00:00,3.87990000,3.95730000,3.85840000,389278.59000000
2020-08-24 01:00:00,3.94710000,4.00000000,3.85210000,611220.61000000
2020-08-24 02:00:00,3.99920000,4.04160000,3.92530000,812468.74000000
2020-08-24 03:00:00,3.96880000,4.14000000,3.96870000,973810.62000000
2020-08-24 04:00:00,4.05840000,4.11530000,3.94700000,1192036.92000000
2020-08-24 05:00:00,3.96380000,4.03120000,3.90010000,765529.71000000
2020-08-24 06:00:00,3.93210000,4.07600000,3.93210000,734485.67000000
2020-08-24 07:00:00,4.04660000,4.15980000,4.02250000,1110537.20000000
2020-08-24 08:00:00,4.07900000,4.16010000,4.01740000,1018211.62000000
2020-08-24 09:00:00,4.15410000,4.31970000,4.10000000,1588536.70000000
2020-08-24 10:00:00,4.27180000,4.27850000,4.16900000,1175298.44000000
2020-08-24 11:00:00,4.26130000,4.29000000,4.11940000,985900.23000000
